MI0000060	hsa-let-7a-1	100	16530703;17128272;17220301;17554199;17569129;17848567;17900631;18025090;18089790;18375788;18583325;18718003;18759964;19229243;19304520;19398578;19445940;19508234;19620236;19787239;19788861;19945163;19951901;20097187;20134314;20234369;20351193;20403586;20413881;20428818;20576643;20614490;20652617;20809749;20840794;20848182;20868483;20944140;20978195;21059911;21097396;21122376;21148031;21247883;21285251;21327300;21346145;21349817;21368581;21386827;21442230;21463919;21468581;21472213;21503965;21518763;21519184;21602527;21663977;21731696;21898693;21929751;22018986;22027761;22120473;22139073;22155254;22160159;22251626;22289526;22296229;22492723;22506400;22596182;22675043;22788411;22894918;22924844;22965940;22968827;22970209;22972404;23032975;23101954;23134218;23136618;23160909;23184091;23246221;23265735;23480766;23509348;23519840;23566834;23676502;23708208;23860321;23936455;23940002;24004569;
MI0000061	hsa-let-7a-2	99	16530703;17128272;17220301;17554199;17569129;17848567;17900631;18025090;18089790;18375788;18583325;18718003;18759964;19015728;19229243;19304520;19398578;19445940;19508234;19620236;19787239;19788861;19945163;19951901;20097187;20134314;20234369;20351193;20403586;20413881;20428818;20576643;20614490;20809749;20840794;20848182;20868483;20944140;20978195;21059911;21097396;21122376;21148031;21247883;21285251;21327300;21346145;21349817;21368581;21386827;21442230;21463919;21468581;21472213;21503965;21518763;21519184;21602527;21663977;21731696;21898693;21929751;22018986;22027761;22120473;22155254;22160159;22251626;22289526;22296229;22492723;22506400;22596182;22675043;22788411;22894918;22924844;22965940;22968827;22970209;22972404;23032975;23101954;23134218;23136618;23160909;23184091;23246221;23265735;23480766;23509348;23519840;23566834;23676502;23708208;23860321;23936455;23940002;24004569;
MI0000062	hsa-let-7a-3	98	16530703;17128272;17220301;17554199;17569129;17848567;17900631;18025090;18089790;18375788;18583325;18718003;18759964;19229243;19304520;19398578;19445940;19508234;19620236;19787239;19788861;19945163;19951901;20097187;20134314;20234369;20351193;20403586;20413881;20428818;20576643;20614490;20809749;20840794;20848182;20868483;20944140;20978195;21059911;21097396;21122376;21148031;21247883;21285251;21327300;21346145;21349817;21368581;21386827;21442230;21463919;21468581;21472213;21503965;21518763;21519184;21602527;21663977;21731696;21898693;21929751;22018986;22027761;22120473;22155254;22160159;22251626;22289526;22296229;22492723;22506400;22596182;22675043;22788411;22894918;22924844;22965940;22968827;22970209;22972404;23032975;23101954;23134218;23136618;23160909;23184091;23246221;23265735;23480766;23509348;23519840;23566834;23676502;23708208;23860321;23936455;23940002;24004569;
MI0000063	hsa-let-7b	56	14970384;18026111;18056805;18400113;18477892;18983959;19351815;19428708;19643113;19654583;19846888;19850715;20130213;20228781;20423455;20499100;20515755;20881268;21242186;21309633;21463919;21503965;21571357;21586588;21637849;21692195;21768364;21809347;22047531;22120473;22209839;22294324;22348345;22391672;22513850;22683924;22761738;22821209;22884882;22909203;22918121;22976804;22995917;23029111;23144930;23158486;23162627;23236408;23249809;23372341;23391324;23437218;23469087;23542579;23774803;23865864;
MI0000064	hsa-let-7c	47	17438130;17674361;17690133;17891175;18006136;18006822;18188765;18387358;18523997;18802929;19289845;19370508;19372056;19734068;19749800;19897480;19968636;20018759;20497960;20736742;21037022;21081842;21123372;21166724;21255804;21463919;21503965;21984339;22024720;22102901;22245693;22294845;22348345;22370893;22392036;22433309;22438992;22452878;22862169;22909203;22929886;23059500;23101954;23116342;23298838;23520204;23880305;
MI0000065	hsa-let-7d	20	19179615;19703567;20395557;20410187;20652617;20873592;21266476;21266788;21307844;21548940;21666788;21692035;22315424;22384141;22699519;22722712;22862169;22929886;23268403;23391324;
MI0000066	hsa-let-7e	26	18356149;18823650;19846888;19968636;20497960;20881268;21122376;21213367;21572098;21629653;21690488;21924071;22099053;22262659;22367372;22376254;22389313;22472564;22589448;22618509;22862169;23079871;23167930;23282077;23813959;23885139;
MI0000067	hsa-let-7f-1	25	18493317;18627289;19259417;20180642;20354523;20595154;20652617;20716115;20888330;21098710;21122376;21148031;21508257;21660946;21914171;22110251;22223664;22262659;22407818;22840365;22929886;22997154;23042301;23144465;23745809;
MI0000068	hsa-let-7f-2	24	18493317;18627289;19259417;20180642;20354523;20595154;20716115;20888330;21098710;21122376;21148031;21508257;21660946;21914171;22110251;22223664;22262659;22407818;22840365;22929886;22997154;23042301;23144465;23745809;
MI0000069	hsa-mir-15a	161	12434020;14973191;15648093;16166262;16204133;16251535;16323427;16616063;17327404;17351108;17539773;17554199;17624268;17727326;17936263;18246537;18281475;18348159;18362358;18449891;18708755;18818396;18820673;18931683;18949056;18949060;19106636;19109256;19117988;19148136;19187610;19342876;19347735;19347736;19349863;19381257;19401561;19424061;19498445;19507501;19515934;19549910;19591824;19714650;19721432;19723889;19779621;19782699;19823025;19841262;19883312;19903841;19908170;20013340;20031211;20039279;20060366;20068100;20071661;20129242;20201611;20393129;20561431;20621999;20622877;20671120;20687796;20711193;20839343;20863894;20876285;20884628;20936480;20944140;20947517;21055156;21056550;21093163;21106054;21118128;21130495;21146880;21156224;21205891;21205967;21212882;21340045;21390519;21438667;21454377;21472816;21532615;21534877;21563233;21575235;21616186;21629246;21666870;21693768;21712053;21778430;21834602;21838537;21862971;21880628;21881595;21936961;21980237;21987025;22002311;22033921;22049078;22089185;22096249;22133358;22139073;22249219;22332658;22335947;22348968;22429968;22431542;22449094;22463747;22472886;22574716;22629365;22645320;22684875;22701882;22710713;22719975;22781767;22856663;22868808;22922827;22942255;22959509;22960330;23022987;23104180;23136618;23152777;23176145;23205669;23209027;23233752;23248315;23307249;23325924;23353574;23416953;23454749;23557329;23593011;23608884;23649629;23803556;23822153;23900351;24014303;
